seq_name	length	topology	coordinates	n_genes	genetic_code	virus_score	fdr	n_hallmarks	marker_enrichment	taxonomy
OTU_644	6825	No terminal repeats	NA	14	11	0.9821	NA	1	11.9112	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_3631	2079	No terminal repeats	NA	7	11	0.9821	NA	1	9.8858	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_1857	3431	No terminal repeats	NA	9	11	0.9821	NA	2	14.6175	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_55	37619	No terminal repeats	NA	43	11	0.9820	NA	11	56.9043	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_2610	2676	No terminal repeats	NA	6	11	0.9820	NA	1	8.5914	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_809	5909	No terminal repeats	NA	8	11	0.9820	NA	2	8.7203	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_277	11415	No terminal repeats	NA	14	11	0.9819	NA	9	22.5222	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_392	9249	No terminal repeats	NA	17	11	0.9819	NA	3	24.2070	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_290	11161	No terminal repeats	NA	10	11	0.9819	NA	3	13.7569	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_508	7857	No terminal repeats	NA	16	11	0.9819	NA	3	22.2895	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_108	24197	No terminal repeats	NA	19	11	0.9818	NA	6	23.1834	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_2583	2694	No terminal repeats	NA	4	11	0.9817	NA	3	6.3552	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_147	18128	No terminal repeats	NA	16	11	0.9817	NA	9	23.4247	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_2099	3150	No terminal repeats	NA	6	11	0.9817	NA	0	10.3048	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_553	7404	No terminal repeats	NA	10	11	0.9817	NA	3	13.4425	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_817	5858	No terminal repeats	NA	10	11	0.9817	NA	2	15.1875	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_204	14085	No terminal repeats	NA	19	11	0.9817	NA	9	26.7261	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_848	5744	No terminal repeats	NA	4	11	0.9817	NA	2	6.5965	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_107	24266	No terminal repeats	NA	26	11	0.9817	NA	6	40.5526	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_1426	4112	No terminal repeats	NA	9	11	0.9817	NA	2	11.7159	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_1023	5166	No terminal repeats	NA	6	11	0.9816	NA	3	7.9244	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_379	9365	No terminal repeats	NA	14	11	0.9816	NA	5	21.6027	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_843	5759	No terminal repeats	NA	7	11	0.9815	NA	4	10.9507	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_967	5315	No terminal repeats	NA	4	11	0.9815	NA	0	4.9752	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_24	43553	DTR	NA	67	11	0.9815	NA	13	96.6340	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_720	6328	No terminal repeats	NA	11	11	0.9814	NA	0	10.3097	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_525	7679	No terminal repeats	NA	7	11	0.9814	NA	4	10.9498	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_1035	5128	No terminal repeats	NA	4	11	0.9814	NA	2	5.6138	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_51	38239	No terminal repeats	NA	43	11	0.9814	NA	9	55.2371	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_225	13337	No terminal repeats	NA	21	11	0.9814	NA	6	27.4107	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_814	5889	No terminal repeats	NA	6	11	0.9813	NA	4	10.0871	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_231	13030	No terminal repeats	NA	25	11	0.9813	NA	3	35.0233	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_50	38257	No terminal repeats	NA	61	11	0.9813	NA	7	61.1528	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_976	5294	No terminal repeats	NA	6	11	0.9813	NA	3	7.9305	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_68	35213	No terminal repeats	NA	46	11	0.9813	NA	8	64.7558	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_307	10699	No terminal repeats	NA	21	11	0.9813	NA	2	28.4564	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_1770	3550	No terminal repeats	NA	7	11	0.9813	NA	5	10.9295	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_127	21206	No terminal repeats	NA	31	11	0.9813	NA	12	41.3079	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_4519	1748	No terminal repeats	NA	5	11	0.9813	NA	0	7.8537	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_459	8382	No terminal repeats	NA	11	11	0.9813	NA	0	13.8150	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_223	13363	No terminal repeats	NA	20	11	0.9813	NA	4	24.9916	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_243	12501	No terminal repeats	NA	13	11	0.9813	NA	5	15.4339	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_190	14952	No terminal repeats	NA	20	11	0.9812	NA	17	29.2233	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_2196	3036	No terminal repeats	NA	3	11	0.9812	NA	0	4.5447	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_1060	5060	No terminal repeats	NA	14	11	0.9812	NA	1	15.8006	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_2590	2689	No terminal repeats	NA	6	11	0.9812	NA	1	6.8731	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_164	17037	No terminal repeats	NA	17	11	0.9811	NA	7	24.5874	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_517	7754	No terminal repeats	NA	6	11	0.9811	NA	3	6.6800	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_2132	3123	No terminal repeats	NA	7	11	0.9811	NA	0	9.9878	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_862	5681	No terminal repeats	NA	8	11	0.9810	NA	3	12.8690	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_268	11570	No terminal repeats	NA	15	11	0.9810	NA	6	19.9947	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_261	11915	No terminal repeats	NA	15	11	0.9810	NA	2	18.1066	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_4098	1879	No terminal repeats	NA	6	11	0.9810	NA	0	8.5229	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_1805	3498	No terminal repeats	NA	5	11	0.9809	NA	4	7.8795	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_5458	1507	No terminal repeats	NA	4	11	0.9809	NA	0	4.7251	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_796	5965	No terminal repeats	NA	10	11	0.9809	NA	2	12.9752	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_1442	4083	No terminal repeats	NA	5	11	0.9809	NA	4	6.6175	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_1214	4611	No terminal repeats	NA	9	11	0.9809	NA	0	11.2910	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_595	7157	No terminal repeats	NA	11	11	0.9808	NA	2	12.3130	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_165	16824	No terminal repeats	NA	19	11	0.9808	NA	16	25.2039	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_1233	4581	No terminal repeats	NA	9	11	0.9808	NA	0	11.5255	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_75	33830	No terminal repeats	NA	52	11	0.9808	NA	10	71.3690	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_1942	3339	No terminal repeats	NA	9	11	0.9808	NA	0	10.8484	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_691	6524	No terminal repeats	NA	7	11	0.9808	NA	2	11.4275	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_668	6674	No terminal repeats	NA	14	11	0.9807	NA	2	13.2245	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_1131	4843	No terminal repeats	NA	5	11	0.9807	NA	4	8.3689	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_146	18269	No terminal repeats	NA	28	11	0.9807	NA	1	28.3488	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_1885	3403	No terminal repeats	NA	5	11	0.9807	NA	2	6.3431	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_686	6555	No terminal repeats	NA	5	11	0.9807	NA	4	7.7117	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_85	30420	No terminal repeats	NA	37	11	0.9807	NA	7	53.2914	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_189	15029	No terminal repeats	NA	19	11	0.9807	NA	4	27.1449	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_562	7341	No terminal repeats	NA	6	11	0.9806	NA	2	8.0553	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_156	17359	No terminal repeats	NA	23	11	0.9806	NA	13	34.6123	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_115	22602	No terminal repeats	NA	33	11	0.9806	NA	6	39.3898	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_150	17842	No terminal repeats	NA	15	11	0.9806	NA	6	23.5380	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_829	5822	No terminal repeats	NA	12	11	0.9806	NA	0	19.9808	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_1072	5032	No terminal repeats	NA	9	11	0.9806	NA	2	11.5636	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_210	13693	No terminal repeats	NA	18	11	0.9806	NA	12	24.3141	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_773	6084	No terminal repeats	NA	7	11	0.9805	NA	0	8.5279	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_15	47850	No terminal repeats	NA	68	11	0.9805	NA	9	78.6125	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_1390	4195	No terminal repeats	NA	5	11	0.9805	NA	1	5.7460	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_2045	3219	No terminal repeats	NA	3	11	0.9805	NA	0	4.3683	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_27	42268	No terminal repeats	NA	66	11	0.9805	NA	14	83.5582	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_5	60810	No terminal repeats	NA	96	11	0.9805	NA	8	81.1934	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_316	10542	No terminal repeats	NA	14	11	0.9804	NA	11	19.5297	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_92	29316	No terminal repeats	NA	36	11	0.9804	NA	8	36.6889	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_360	9595	No terminal repeats	NA	7	11	0.9804	NA	1	10.3358	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_946	5399	No terminal repeats	NA	10	11	0.9804	NA	4	9.8058	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_3483	2145	No terminal repeats	NA	3	11	0.9803	NA	2	4.8526	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_66	35845	No terminal repeats	NA	47	11	0.9803	NA	8	66.3666	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_161	17108	No terminal repeats	NA	30	11	0.9803	NA	3	34.7898	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_421	8811	No terminal repeats	NA	9	11	0.9803	NA	2	14.4882	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_919	5485	No terminal repeats	NA	10	11	0.9803	NA	0	13.7860	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_2832	2495	No terminal repeats	NA	4	11	0.9803	NA	1	5.7841	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_270	11540	No terminal repeats	NA	17	11	0.9802	NA	2	18.9582	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_665	6675	No terminal repeats	NA	13	11	0.9802	NA	1	19.6669	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_18	46491	DTR	NA	61	11	0.9801	NA	16	81.5194	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_387	9275	No terminal repeats	NA	11	11	0.9801	NA	1	15.1831	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_2628	2666	No terminal repeats	NA	7	11	0.9801	NA	2	10.4162	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_216	13562	No terminal repeats	NA	17	11	0.9801	NA	5	21.8840	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_927	5457	No terminal repeats	NA	11	11	0.9800	NA	3	15.4948	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_21	44244	DTR	NA	66	11	0.9800	NA	9	75.9137	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_2487	2757	No terminal repeats	NA	7	11	0.9800	NA	0	8.5997	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_1009	5213	No terminal repeats	NA	5	11	0.9800	NA	0	5.9032	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_1877	3412	No terminal repeats	NA	5	11	0.9800	NA	5	6.7872	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_90|provirus_4250_29545	25296	Provirus	4250-29545	24	11	0.9799	NA	5	31.7787	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_776	6063	No terminal repeats	NA	9	11	0.9799	NA	1	12.0943	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_968	5310	No terminal repeats	NA	11	11	0.9799	NA	0	11.4579	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_2415	2822	No terminal repeats	NA	4	11	0.9799	NA	1	6.5155	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_110	23465	No terminal repeats	NA	33	11	0.9799	NA	5	36.9859	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_19	33193	No terminal repeats	NA	54	11	0.9799	NA	10	66.6156	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_1068	5044	No terminal repeats	NA	8	11	0.9799	NA	5	10.9490	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_22	43896	No terminal repeats	NA	62	11	0.9799	NA	8	77.2536	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_2459	2782	No terminal repeats	NA	7	11	0.9799	NA	2	6.8731	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_84	30611	No terminal repeats	NA	44	11	0.9798	NA	13	64.2420	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_2072	3190	No terminal repeats	NA	10	11	0.9798	NA	0	8.3814	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_201	14169	No terminal repeats	NA	23	11	0.9798	NA	4	25.3157	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_40	39956	No terminal repeats	NA	63	11	0.9798	NA	9	73.4335	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_1638	3749	No terminal repeats	NA	6	11	0.9797	NA	6	8.3613	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_5703	1457	No terminal repeats	NA	3	11	0.9797	NA	0	4.3903	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_3456	2163	No terminal repeats	NA	4	11	0.9797	NA	1	4.9538	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_52	37979	DTR	NA	60	11	0.9797	NA	9	50.5870	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_135	19587	No terminal repeats	NA	23	11	0.9797	NA	7	32.5489	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_4149	1863	No terminal repeats	NA	3	11	0.9797	NA	0	5.1548	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_17	46455	No terminal repeats	NA	71	11	0.9797	NA	12	76.2340	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_76	33677	No terminal repeats	NA	50	11	0.9796	NA	12	60.6434	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_12	49837	No terminal repeats	NA	80	11	0.9795	NA	15	98.9730	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_363	9563	No terminal repeats	NA	15	11	0.9795	NA	3	14.3046	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_95	28058	No terminal repeats	NA	39	11	0.9795	NA	4	37.6439	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_63	36021	No terminal repeats	NA	51	11	0.9795	NA	6	56.4818	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_33	40999	No terminal repeats	NA	71	11	0.9795	NA	13	71.4552	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_106	24380	No terminal repeats	NA	34	11	0.9795	NA	19	46.3157	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_64	36071	DTR	NA	52	11	0.9795	NA	6	52.1880	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_23	43625	No terminal repeats	NA	66	11	0.9794	NA	11	78.4553	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_386	9286	No terminal repeats	NA	12	11	0.9794	NA	8	19.5368	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_2891	2459	No terminal repeats	NA	3	11	0.9794	NA	2	4.1391	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_3121	2331	No terminal repeats	NA	3	11	0.9794	NA	2	4.6636	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_273	11485	No terminal repeats	NA	17	11	0.9794	NA	6	22.3185	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_48	38392	No terminal repeats	NA	47	11	0.9793	NA	11	62.7618	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
